tarikh,nama_kluster,kategori_kluster,negeri,daerah,jumlah_kes,jumlah_disaring
2021-05-20,Batu Lapan Bukit Rambai,Komuniti,Melaka,Melaka Tengah dan Jasin,12,30
2021-05-21,Industri Senawang,Tempat Kerja,Negeri Sembilan,Kuala Pilah,24,68
2021-05-21,Persiaran Perbandaran,Tempat Kerja,Selangor,"Petaling, Klang, dan Hulu Langat",25,208
2021-05-21,Industri Balakong Tiga,Tempat Kerja,Selangor,"Hulu Langat, Sepang dan Petaling",19,139
2021-05-21,Jalan Wan Kadir,Tempat Kerja,WP Kuala Lumpur dan Selangor,"Kepong, Lembah Pantai, Titiwangsa, Cheras, dan Klang",8,91
2021-05-21,Jalan Simpang Tiga,Tempat Kerja,Sarawak,"Kuching, Samarahan, Serian, dan Asajaya",14,44
2021-05-21,Jalan Datin Halimah,Tempat Kerja,Johor,Johor Bahru,10,86
2021-05-21,Jalan Mengkibol,Tempat Kerja,Johor,Kluang,25,33
2021-05-21,Sungai Keluang 2,Tempat Kerja,Pulau Pinang,"Barat Daya, Timur Laut, dan Seberang Perai Tengah",24,139
2021-05-21,Jalan Selat,Tempat Kerja,Perak,Manjung,13,142
2021-05-21,Jalan Kota Raja,Keagamaan,Selangor,Klang,37,68
2021-05-21,Kampung Mujahidin,Keagamaan,Selangor,Kuala Langat,41,195
2021-05-21,Sri Penara,Keagamaan,WP Kuala Lumpur,Cheras,29,39
2021-05-21,Taman Setiawangsa,Keagamaan,WP Kuala Lumpur,Titiwangsa,13,33
2021-05-21,Jalan Surau Stulang,Keagamaan,Johor,Johor Bahru,11,114
2021-05-21,Susur Larut,Komuniti,Perak,"Larut, Matang, dan Selama",42,101
2021-05-21,Jalan Tanjung Minyak,Komuniti,Melaka,Melaka Tengah,24,46
2021-05-21,Simpang Sahari,Komuniti,WP Labuan,Labuan,9,119
2021-05-21,Industri Kelemak,Tempat Kerja,Melaka,Alor Gajah,25,27
2021-05-22,Taman Kesang Indah,Komuniti, Melaka dan Johor,"Jasin, Melaka Tengah, dan Muar",26,55
2021-05-22,Jalan Cemerlang Empat,Tempat Kerja,Selangor,Kuala Langat,16,100
2021-05-22,Jalan Laman Setia Tujuh,Tempat Kerja,Johor,Johor Bahru,11,150
2021-05-22,Jalan Pantai Port Dickson,Tempat Kerja,Negeri Sembilan,Port Dickson,30,104
2021-05-22,Industri Nibong Tebal,Tempat Kerja,Pulau Pinang,Seberang Perai Selatan dan Barat Daya,32,91
